새티커,원래티커,종목명,시장
SSE,5930,삼성전자,KOSPI
SKH,660,SK하이닉스,KOSPI
SSEP,5935,삼성전자우,KOSPI
LGE,373220,LG에너지솔루션,KOSPI
HMC,5380,현대차,KOSPI
SKS,402340,SK스퀘어,KOSPI
DSE,34020,두산에너빌리티,KOSPI
HWA,12450,한화에어로스페이스,KOSPI
SSB,207940,삼성바이오로직스,KOSPI
HDHI,329180,HD현대중공업,KOSPI
KIA,270,기아,KOSPI
SSM,9150,삼성전기,KOSPI
KBF,105560,KB금융,KOSPI
SSD,6400,삼성SDI,KOSPI
SSL,32830,삼성생명,KOSPI
SST,28260,삼성물산,KOSPI
SHFH,55550,신한지주,KOSPI
CTRN,68270,셀트리온,KOSPI
HMB,12330,현대모비스,KOSPI
HWO,42660,한화오션,KOSPI
HDE,267260,HD현대일렉트릭,KOSPI
MAS,6800,미래에셋증권,KOSPI
KZ,10130,고려아연,KOSPI
NVR,35420,NAVER,KOSPI
HNFH,86790,하나금융지주,KOSPI
PSCH,5490,POSCO홀딩스,KOSPI
HDK,9540,HD한국조선해양,KOSPI
KE,15760,한국전력,KOSPI
LSE,10120,LS ELECTRIC,KOSPI
HYH,298040,효성중공업,KOSPI
SSH,10140,삼성중공업,KOSPI
HMS,42700,한미반도체,KOSPI
LGC,51910,LG화학,KOSPI
SK,34730,SK,KOSPI
HMR,64350,현대로템,KOSPI
WRFH,316140,우리금융지주,KOSPI
HWS,272210,한화시스템,KOSPI
DSN,150,두산,KOSPI
PSF,3670,포스코퓨처엠,KOSPI
SKI,96770,SK이노베이션,KOSPI
LDA,79550,LIG디펜스앤에어로스페이스,KOSPI
LGEL,66570,LG전자,KOSPI
SKT,17670,SK텔레콤,KOSPI
KKO,35720,카카오,KOSPI
HDH,267250,HD현대,KOSPI
SSF,810,삼성화재,KOSPI
HMM,11200,HMM,KOSPI
KTG,33780,KT&G,KOSPI
MZFH,138040,메리츠금융지주,KOSPI
HMEC,720,현대건설,KOSPI
KAI,47810,한국항공우주,KOSPI
IBK,24110,기업은행,KOSPI
HMG,86280,현대글로비스,KOSPI
APL,278470,에이피알,KOSPI
KT,30200,KT,KOSPI
LG,3550,LG,KOSPI
KFGH,71050,한국금융지주,KOSPI
PSI,47050,포스코인터내셔널,KOSPI
SDS,18260,삼성에스디에스,KOSPI
DSDE,47040,대우건설,KOSPI
SKSO,10950,S-Oil,KOSPI
NHI,5940,NH투자증권,KOSPI
KRF,259960,크래프톤,KOSPI
HMA,307950,현대오토에버,KOSPI
ISP,7660,이수페타시스,KOSPI
LGI,11070,LG이노텍,KOSPI
KKB,323410,카카오뱅크,KOSPI
KWS,39490,키움증권,KOSPI
DBI,5830,DB손해보험,KOSPI
LS,6260,LS,KOSPI
HYB,352820,하이브,KOSPI
HDM,443060,HD현대마린솔루션,KOSPI
SYF,3230,삼양식품,KOSPI
SSA,28050,삼성E&A,KOSPI
SSV,16360,삼성증권,KOSPI
HWH,880,한화,KOSPI
HJKA,3490,대한항공,KOSPI
HMCB,5387,현대차2우B,KOSPI
HDC,267270,HD건설기계,KOSPI
HWSO,9830,한화솔루션,KOSPI
SKB,326030,SK바이오팜,KOSPI
HTT,161390,한국타이어앤테크놀로지,KOSPI
ELN,66970,엘앤에프,KOSPI
HJK,180640,한진칼,KOSPI
LGD,34220,LG디스플레이,KOSPI
KKP,377300,카카오페이,KOSPI
APC,90430,아모레퍼시픽,KOSPI
DEW,1440,대한전선,KOSPI
YHN,100,유한양행,KOSPI
LGU,32640,LG유플러스,KOSPI
DSB,241560,두산밥캣,KOSPI
KEC,52690,한전기술,KOSPI
LGCN,64400,LG씨엔에스,KOSPI
GS,78930,GS,KOSPI
SEL,62040,산일전기,KOSPI
HMP,128940,한미약품,KOSPI
SSC,29780,삼성카드,KOSPI
CJ,1040,CJ,KOSPI
DSR,454910,두산로보틱스,KOSPI
HMCP,5385,현대차우,KOSPI
NC,36570,NC,KOSPI
OCH,10060,OCI홀딩스,KOSPI
EB,450080,에코프로머티,KOSPI
BNKH,138930,BNK금융지주,KOSPI
COW,21240,코웨이,KOSPI
JBFH,175330,JB금융지주,KOSPI
HWE,82740,한화엔진,KOSPI
DBH,990,DB하이텍,KOSPI
MCI,88980,맥쿼리인프라,KOSPI
ORN,271560,오리온,KOSPI
PSD,22100,포스코DX,KOSPI
HMST,4020,현대제철,KOSPI
DDE,353200,대덕전자,KOSPI
KCC,2380,KCC,KOSPI
SKC,11790,SKC,KOSPI
HWHS,18880,한온시스템,KOSPI
HWL,88350,한화생명,KOSPI
NMB,251270,넷마블,KOSPI
IJE,103590,일진전기,KOSPI
HWV,489790,한화비전,KOSPI
IS,457190,이수스페셜티케미컬,KOSPI
LOC,11170,롯데케미칼,KOSPI
HE,17800,현대엘리베이터,KOSPI
LGHH,51900,LG생활건강,KOSPI
DLE,375500,DL이앤씨,KOSPI
YNG,111770,영원무역,KOSPI
DHS,439260,대한조선,KOSPI
GWL,35250,강원랜드,KOSPI
DBZ,12510,더존비즈온,KOSPI
SSG,4170,신세계,KOSPI
GSC,6360,GS건설,KOSPI
CJC,97950,CJ제일제당,KOSPI
KAP,11780,금호석유화학,KOSPI
SEOU,31210,서울보증보험,KOSPI
SKBI,302440,SK바이오사이언스,KOSPI
KGC,36460,한국가스공사,KOSPI
SHIN,1720,신영증권,KOSPI
LOS,23530,롯데쇼핑,KOSPI
SC,12750,에스원,KOSPI
HDME,71970,HD현대마린엔진,KOSPI
HNC,14680,한솔케미칼,KOSPI
LOE,20150,롯데에너지머티리얼즈,KOSPI
DSFC,336260,두산퓨얼셀,KOSPI
POC,28670,팬오션,KOSPI
IMGH,139130,iM금융지주,KOSPI
MAL,85620,미래에셋생명,KOSPI
GAC,500,가온전선,KOSPI
SLC,5850,에스엘,KOSPI
CSW,112610,씨에스윈드,KOSPI
YNGH,9970,영원무역홀딩스,KOSPI
PC,103140,풍산,KOSPI
EMT,139480,이마트,KOSPI
LOTH,4990,롯데지주,KOSPI
HJH,97230,HJ중공업,KOSPI
KPS,51600,한전KPS,KOSPI
KCB,17960,한국카본,KOSPI
HMI,1450,현대해상,KOSPI
DSO,26960,동서,KOSPI
HYG,4800,효성,KOSPI
KLI,120110,코오롱인더,KOSPI
HS,8930,한미사이언스,KOSPI
DGB,483650,달바글로벌,KOSPI
KBK,279570,케이뱅크,KOSPI
FF,383220,F&F,KOSPI
SBSH,1430,세아베스틸지주,KOSPI
HLM,204320,HL만도,KOSPI
HNB,9420,한올바이오파마,KOSPI
CMX,192820,코스맥스,KOSPI
DNA,7340,DN오토모티브,KOSPI
CJL,120,CJ대한통운,KOSPI
HWHA,240,한국앤컴퍼니,KOSPI
HDGH,5440,현대지에프홀딩스,KOSPI
HMW,11210,현대위아,KOSPI
SKIT,361610,SK아이이테크놀로지,KOSPI
BGR,282330,BGF리테일,KOSPI
HYT,298020,효성티앤씨,KOSPI
NSM,4370,농심,KOSPI
KCT,7810,코리아써키트,KOSPI
DSNP,155,두산우,KOSPI
SKG,18670,SK가스,KOSPI
CHEW,30000,제일기획,KOSPI
MSTH,81660,미스토홀딩스,KOSPI
SHL,8770,호텔신라,KOSPI
KRI,3690,코리안리,KOSPI
CAM,5070,코스모신소재,KOSPI
APCH,2790,아모레퍼시픽홀딩스,KOSPI
DTC,23590,다우기술,KOSPI
HPS,69960,현대백화점,KOSPI
SKR,395400,SK리츠,KOSPI
KLK,161890,한국콜마,KOSPI
LXI,1120,LX인터내셔널,KOSPI
HDES,322000,HD현대에너지솔루션,KOSPI
STX,77970,STX엔진,KOSPI
SFT,462870,시프트업,KOSPI
GSR,7070,GS리테일,KOSPI
DAIS,3540,대신증권,KOSPI
SND,3570,SNT다이내믹스,KOSPI
SKE,475150,SK이터닉스,KOSPI
LSEE,229640,LS에코에너지,KOSPI
DWP,69620,대웅제약,KOSPI
DWI,6040,동원산업,KOSPI
KAT,73240,금호타이어,KOSPI
GRC,6280,녹십자,KOSPI
HWIS,3530,한화투자증권,KOSPI
HDHD,12630,HDC,KOSPI
HDI,294870,IPARK현대산업개발,KOSPI
LOTD,32350,롯데관광개발,KOSPI
KYS,30610,교보증권,KOSPI
HSG,93370,후성,KOSPI
ORNH,1800,오리온홀딩스,KOSPI
HJAA,20560,아시아나항공,KOSPI
OGI,7310,오뚜기,KOSPI
SKO,100090,SK오션플랜트,KOSPI
LGCP,51915,LG화학우,KOSPI
DYL,82640,동양생명,KOSPI
PRD,34230,파라다이스,KOSPI
LOFC,4000,롯데정밀화학,KOSPI
LOTR,330590,롯데리츠,KOSPI
NVN,181710,NHN,KOSPI
TKI,3240,태광산업,KOSPI
DL,210,DL,KOSPI
DWN,3090,대웅,KOSPI
HC,300720,한일시멘트,KOSPI
YPN,670,영풍,KOSPI
KBI,415640,KB발해인프라,KOSPI
LOR,89860,롯데렌탈,KOSPI
JKD,185750,종근당,KOSPI
HTJ,80,하이트진로,KOSPI
BH,90460,비에이치,KOSPI
SKN,1740,SK네트웍스,KOSPI
KC,281820,케이씨텍,KOSPI
HDS,195870,해성디에스,KOSPI
HWHR,451800,한화리츠,KOSPI
SHI,75580,세진중공업,KOSPI
LOCH,5300,롯데칠성,KOSPI
EKSR,365550,ESR켄달스퀘어리츠,KOSPI
SSFP,815,삼성화재우,KOSPI
SNE,100840,SNT에너지,KOSPI
MCS,484870,엠앤씨솔루션,KOSPI
WGM,192080,더블유게임즈,KOSPI
LOW,280360,롯데웰푸드,KOSPI
OC,456040,OCI,KOSPI
SMA,6110,삼아알미늄,KOSPI
PMC,5690,파미셀,KOSPI
HYHA,298050,HS효성첨단소재,KOSPI
SKD,6120,SK디스커버리,KOSPI
SDB,137310,에스디바이오센서,KOSPI
KFGHP,71055,한국금융지주우,KOSPI
HPH,57050,현대홈쇼핑,KOSPI
SNTH,36530,SNT홀딩스,KOSPI
CKHH,192400,쿠쿠홀딩스,KOSPI
DC,6650,대한유화,KOSPI
SKCH,285130,SK케미칼,KOSPI
YTS,3470,유안타증권,KOSPI
JWE,33240,자화전자,KOSPI
KDN,9450,경동나비엔,KOSPI
JCR,79900,전진건설로봇,KOSPI
LGELP,66575,LG전자우,KOSPI
GSP,499790,GS피앤엘,KOSPI
SAM,336370,솔루스첨단소재,KOSPI
SLM,248070,솔루엠,KOSPI
SSMP,9155,삼성전기우,KOSPI
AKC,161000,애경케미칼,KOSPI
SM,64960,SNT모티브,KOSPI
NEI,30190,NICE평가정보,KOSPI
LXS,108320,LX세미콘,KOSPI
DI,3160,디아이,KOSPI
GSSE,5090,SGC에너지,KOSPI
HNS,9240,한샘,KOSPI
KDH,71320,지역난방공사,KOSPI
SBB,4490,세방전지,KOSPI
SASH,3030,세아제강지주,KOSPI
DAEH,5880,대한해운,KOSPI
IDP,249420,일동제약,KOSPI
SKSE,1510,SK증권,KOSPI
ISD,10780,아이에스동서,KOSPI
KDT,25540,한국단자,KOSPI
SE,11930,신성이엔지,KOSPI
BRG,3850,보령,KOSPI
MYP,317450,명인제약,KOSPI
KGM,3620,KG모빌리티,KOSPI
CJCG,79160,CJ CGV,KOSPI
DWS,14820,동원시스템즈,KOSPI
PST,10820,퍼스텍,KOSPI
BKS,1270,부국증권,KOSPI
PAM,178920,PI첨단소재,KOSPI
HWI,370,한화손해보험,KOSPI
INC,214320,이노션,KOSPI
KLN,2020,코오롱,KOSPI
SHAR,293940,신한알파리츠,KOSPI
LF,93050,LF,KOSPI
FFH,7700,F&F홀딩스,KOSPI
HAS,3280,흥아해운,KOSPI
NXTI,2350,넥센타이어,KOSPI
GKL,114090,GKL,KOSPI
TKH,69260,TKG휴켐스,KOSPI
BKP,3000,부광약품,KOSPI
CSC,5420,코스모화학,KOSPI
DAS,1680,대상,KOSPI
JWP,1060,JW중외제약,KOSPI
MPR,94800,맵스리얼티,KOSPI
TM,217590,티엠씨,KOSPI
BGB,5180,빙그레,KOSPI
HMSE,1500,현대차증권,KOSPI
YCH,8730,율촌화학,KOSPI
SHC,1820,삼화콘덴서,KOSPI
GRCH,5250,녹십자홀딩스,KOSPI
XX,17940,E1,KOSPI
MWN,2840,미원상사,KOSPI
SEGH,58650,세아홀딩스,KOSPI
HTR,39130,하나투어,KOSPI
LON,400,롯데손해보험,KOSPI
SSFNR,448730,삼성FN리츠,KOSPI
KJW,17900,광전자,KOSPI
DWDAH,640,동아쏘시오홀딩스,KOSPI
KSO,2960,한국쉘석유,KOSPI
LXHH,383800,LX홀딩스,KOSPI
KOS,2240,고려제강,KOSPI
PCH,5810,풍산홀딩스,KOSPI
KEI,130660,한전산업,KOSPI
GYG,1570,금양,KOSPI
DID,1530,DI동일,KOSPI
IHS,271940,일진하이솔루스,KOSPI
DAISP,3545,대신증권우,KOSPI
CPO,6380,카프로,KOSPI
TYC,9410,태영건설,KOSPI
SPP,19170,신풍제약,KOSPI
KGS,16380,KG스틸,KOSPI
MSI,9900,명신산업,KOSPI
MSC,268280,미원에스씨,KOSPI
DBF,16610,DB증권,KOSPI
UND,14830,유니드,KOSPI
HA,20000,한섬,KOSPI
HMCC,5389,현대차3우B,KOSPI
PBP,950210,프레스티지바이오파마,KOSPI
WJN,105840,우진,KOSPI
CCH,284740,쿠쿠홈시스,KOSPI
ASE,2030,아세아,KOSPI
HJHAH,3300,한일홀딩스,KOSPI
SYGH,70,삼양홀딩스,KOSPI
DSDS,460860,동국제강,KOSPI
HMGF,453340,현대그린푸드,KOSPI
SDP,16590,신대양제지,KOSPI
NHIP,5945,NH투자증권우,KOSPI
SSDP,6405,삼성SDI우,KOSPI
BNT,377740,바이오노트,KOSPI
SSGI,31430,신세계인터내셔날,KOSPI
KCA,381970,케이카,KOSPI
DWC,6340,대원전선,KOSPI
SIND,29530,신도리코,KOSPI
DDK,8060,대덕,KOSPI
APCP,90435,아모레퍼시픽우,KOSPI
HWG,452260,한화갤러리아,KOSPI
NCE,34310,NICE,KOSPI
TCS,2710,TCC스틸,KOSPI
JEB,6220,제주은행,KOSPI
SCL,4690,삼천리,KOSPI
EIS,1200,유진투자증권,KOSPI
KEIS,29460,케이씨,KOSPI
SYS,145990,삼양사,KOSPI
BGF,27410,BGF,KOSPI
DMT,192650,드림텍,KOSPI
HSE,105630,한세실업,KOSPI
CLIR,357120,코람코라이프인프라리츠,KOSPI
PLM,17810,풀무원,KOSPI
DSS,17860,DS단석,KOSPI
DNT,145720,덴티움,KOSPI
KCG,344820,KCC글라스,KOSPI
JPH,4700,조광피혁,KOSPI
HWAS,10690,화신,KOSPI
NSMH,72710,농심홀딩스,KOSPI
DSNB,157,두산2우B,KOSPI
NHC,25860,남해화학,KOSPI
JJA,89590,제주항공,KOSPI
INV,15360,INVENI,KOSPI
DA,170900,동아에스티,KOSPI
SML,5610,삼립,KOSPI
ILJH,15860,일진홀딩스,KOSPI
PRS,16800,퍼시스,KOSPI
ASC,183190,아세아시멘트,KOSPI
NEXT,92790,넥스틸,KOSPI
SAS,306200,세아제강,KOSPI
CDRR,417310,코람코더원리츠,KOSPI
MCN,97520,엠씨넥스,KOSPI
TAV,91810,트리니티항공,KOSPI
AKI,18250,애경산업,KOSPI
SSI,126720,수산인더스트리,KOSPI
KDP,9290,광동제약,KOSPI
HANN,11500,한농화성,KOSPI
STK,26890,스틱인베스트먼트,KOSPI
HMHY,11760,현대코퍼레이션,KOSPI
DAE,84010,대한제강,KOSPI
SOC,403550,쏘카,KOSPI
HYS,1750,한양증권,KOSPI
SEH,200880,서연이화,KOSPI
KG,1390,KG케미칼,KOSPI
HLH,60980,HL홀딩스,KOSPI
KSHH,1940,KISCO홀딩스,KOSPI
KL,34830,한국토지신탁,KOSPI
JSC,194370,제이에스코퍼레이션,KOSPI
DB,12030,DB,KOSPI
HDF,126560,현대퓨처넷,KOSPI
NXN,5720,넥센,KOSPI
KECA,92220,KEC,KOSPI
GC,7690,국도화학,KOSPI
KST,104700,한국철강,KOSPI
SYT,2810,삼영무역,KOSPI
KPXH,92230,KPX홀딩스,KOSPI
APD,2310,아세아제지,KOSPI
DASH,84690,대상홀딩스,KOSPI
DKHH,1230,동국홀딩스,KOSPI
SMP,9160,SIMPAC,KOSPI
PKC,1340,PKC,KOSPI
ACC,78520,에이블씨엔씨,KOSPI
JNA,272450,진에어,KOSPI
LOI,286940,롯데이노베이트,KOSPI
SAMY,3720,삼영,KOSPI
IRC,88260,이리츠코크렙,KOSPI
KA,123890,한국자산신탁,KOSPI
LVMH,900140,엘브이엠씨홀딩스,KOSPI
YGP,37270,YG PLUS,KOSPI
YJP,3520,영진약품,KOSPI
UPH,33270,유나이티드제약,KOSPI
GSG,1250,GS글로벌,KOSPI
KLKOH,24720,콜마홀딩스,KOSPI
MASP,6805,미래에셋증권우,KOSPI
BYC,1460,BYC,KOSPI
KSS,44450,KSS해운,KOSPI
DSI,128820,대성산업,KOSPI
NAL,8350,남선알미늄,KOSPI
TBK,475560,더본코리아,KOSPI
NDP,3920,남양유업,KOSPI
ISI,3120,일성아이에스,KOSPI
SGS,17390,서울가스,KOSPI
HG,53690,한미글로벌,KOSPI
JWHH,96760,JW홀딩스,KOSPI
CEX,650,천일고속,KOSPI
SSGG,37710,광주신세계,KOSPI
SDM,3960,사조대림,KOSPI
TYM,2900,TYM,KOSPI
SYE,5680,삼영전자,KOSPI
KLG,3070,코오롱글로벌,KOSPI
HJN,2320,한진,KOSPI
SWE,9470,삼화전기,KOSPI
EVPR,334890,이지스밸류플러스리츠,KOSPI
SBG,4360,세방,KOSPI
NRHH,320,노루홀딩스,KOSPI
DIC,92200,디아이씨,KOSPI
DAED,490,대동,KOSPI
DDR,377190,디앤디플랫폼리츠,KOSPI
PSS,58430,포스코스틸리온,KOSPI
HKF,540,흥국화재,KOSPI
HST,5010,휴스틸,KOSPI
ISB,3200,일신방직,KOSPI
SBSA,34120,SBS,KOSPI
LGLH,108670,LX하우시스,KOSPI
LSN,680,LS네트웍스,KOSPI
SWTR,404990,신한서부티엔디리츠,KOSPI
SUN,4980,성신양회,KOSPI
HWEN,241590,화승엔터프라이즈,KOSPI
ZNS,13890,지누스,KOSPI
SSGIC,35510,신세계 I&C,KOSPI
YS,11690,와이투솔루션,KOSPI
DFM,1790,대한제당,KOSPI
KGB,50,경방,KOSPI
DGA,430,대원강업,KOSPI
SJI,7160,사조산업,KOSPI
EWD,84680,이월드,KOSPI
MWC,134380,미원화학,KOSPI
HMPH,4310,현대약품,KOSPI
DF,1130,대한제분,KOSPI
GYC,13580,계룡건설,KOSPI
BAEK,35150,백산,KOSPI
DIS,30210,다올투자증권,KOSPI
SHP,390,삼화페인트,KOSPI
JKDH,1630,종근당홀딩스,KOSPI
MHK,33920,무학,KOSPI
JRGR,348950,제이알글로벌리츠,KOSPI
SJN,136490,선진,KOSPI
IMK,122900,아이마켓코리아,KOSPI
ALC,1780,알루코,KOSPI
CJSP,5500,삼진제약,KOSPI
SWI,4430,송원산업,KOSPI
DE,117580,대성에너지,KOSPI
ISU,5950,이수화학,KOSPI
AAS,244920,에이플러스에셋,KOSPI
ABN,298690,에어부산,KOSPI
SKDD,210980,SK디앤디,KOSPI
HMBS,4560,현대비앤지스틸,KOSPI
DP,3220,대원제약,KOSPI
MTC,9680,모토닉,KOSPI
DAGE,28100,동아지질,KOSPI
DOHW,2150,도화엔지니어링,KOSPI
JAL,18470,조일알미늄,KOSPI
CRHH,480,CR홀딩스,KOSPI
SAMI,4380,삼익THK,KOSPI
SKL,53210,스카이라이프,KOSPI
SMB,10580,에스엠벡셀,KOSPI
HT,4710,한솔테크닉스,KOSPI
KBSR,432320,KB스타리츠,KOSPI
AJN,95570,AJ네트웍스,KOSPI
LGHHP,51905,LG생활건강우,KOSPI
DAISB,3547,대신증권2우B,KOSPI
ITH,226320,잇츠한불,KOSPI
KP,25000,KPX케미칼,KOSPI
WOON,16880,웅진,KOSPI
SKSOP,10955,S-Oil우,KOSPI
SHG,8490,서흥,KOSPI
SYN,7860,서연,KOSPI
SOOS,17550,수산세보틱스,KOSPI
SJG,33530,SJG세종,KOSPI
KFB,339770,교촌에프앤비,KOSPI
MPP,9580,무림P&P,KOSPI
IYP,7570,일양약품,KOSPI
DONG,102260,동성케미컬,KOSPI
GJV,860,강남제비스코,KOSPI
HTJH,140,하이트진로홀딩스,KOSPI
KCM,3350,한국화장품제조,KOSPI
BRM,3610,방림,KOSPI
ILD,81000,일진다이아,KOSPI
HDL,39570,HDC랩스,KOSPI
SP,520,삼일제약,KOSPI
MHS,1080,만호제강,KOSPI
LGP,3555,LG우,KOSPI
HYHS,487570,HS효성,KOSPI
DBC,5960,동부건설,KOSPI
MCO,3650,미창석유,KOSPI
HNP,213500,한솔제지,KOSPI
IP,102460,이연제약,KOSPI
JEP,271980,제일약품,KOSPI
KOP,4090,한국석유,KOSPI
JWL,234080,JW생명과학,KOSPI
KDS,8970,KBI동양철관,KOSPI
CJP,1045,CJ우,KOSPI
HANI,16580,환인제약,KOSPI
SSGF,31440,신세계푸드,KOSPI
JYNH,100250,진양홀딩스,KOSPI
KACO,2990,금호건설,KOSPI
KNG,2100,경농,KOSPI
YHS,3460,유화증권,KOSPI
DON,1520,동양,KOSPI
LOH,71840,롯데하이마트,KOSPI
NHOR,400760,NH올원리츠,KOSPI
DCF,15230,대창단조,KOSPI
HWIN,6060,화승인더,KOSPI
KY,12610,경인양행,KOSPI
JSD,317400,자이에스앤디,KOSPI
HANH,16450,한세예스24홀딩스,KOSPI
HTC,101530,해태제과식품,KOSPI
KCTC,9070,KCTC,KOSPI
LGH,37560,LG헬로비전,KOSPI
CJCP,97955,CJ제일제당 우,KOSPI
KORE,5430,한국공항,KOSPI
KAPP,11785,금호석유화학우,KOSPI
SYTS,2170,SYTS,KOSPI
EGI,25820,이구산업,KOSPI
SYK,272550,삼양패키징,KOSPI
NRP,90350,노루페인트,KOSPI
DHA,300,DH오토넥스,KOSPI
TOM,214420,토니모리,KOSPI
GYE,12200,계양전기,KOSPI
HANA,293480,하나제약,KOSPI
CRF,462520,조선내화,KOSPI
DYP,210540,디와이파워,KOSPI
SSP,1360,삼성제약,KOSPI
HEC,4960,한신공영,KOSPI
DGC,460850,동국씨엠,KOSPI
CB,44820,코스맥스비티아이,KOSPI
HDHE,89470,HDC현대EP,KOSPI
KDI,12320,경동인베스트,KOSPI
DOP,20,동화약품,KOSPI
HML,79430,현대리바트,KOSPI
YSHH,700,유수홀딩스,KOSPI
DHF,3830,대한화섬,KOSPI
CAH,25620,차AI헬스케어,KOSPI
KCP,970,한국주철관,KOSPI
KBP,214390,경보제약,KOSPI
HJHIH,3480,한진중공업홀딩스,KOSPI
SWN,9270,신원,KOSPI
TELC,78000,텔코웨어,KOSPI
JHC,2780,진흥기업,KOSPI
SHTR,4970,신라교역,KOSPI
